metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
%_S15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M77,< 10,< 10,< 10,< 10,859.0
%_M77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_P02,< 10,< 10,< 10,< 10,60.0
%_P02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K28,< 10,< 10,< 10,< 10,27.0
%_K28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M75,< 10,< 10,< 10,< 10,2669.0
%_M75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.17%
N_M97,< 10,< 10,< 10,< 10,58.0
%_M97,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Y03,< 10,< 10,< 10,< 10,< 10
%_Y03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R03,< 10,13.0,< 10,< 10,795.0
%_R03,< 0.21%,0.28%,< 0.21%,< 0.21%,0.05%
N_M90,< 10,< 10,< 10,< 10,48.0
%_M90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O15,< 10,< 10,< 10,< 10,< 10
%_O15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_L73,< 10,< 10,< 10,< 10,338.0
%_L73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_M91,< 10,< 10,< 10,< 10,29.0
%_M91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N02,< 10,< 10,< 10,< 10,234.0
%_N02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M31,< 10,< 10,< 10,< 10,499.0
%_M31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_D29,< 10,< 10,< 10,< 10,< 10
%_D29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C69,< 10,< 10,< 10,< 10,1138.0
%_C69,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_D25,< 10,< 10,< 10,< 10,1336.0
%_D25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_Z92,< 10,22.0,< 10,16.0,1650.0
%_Z92,< 0.21%,0.47%,< 0.21%,0.34%,0.1%
N_R49,< 10,< 10,< 10,< 10,282.0
%_R49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_T63,< 10,< 10,< 10,< 10,23.0
%_T63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I88,< 10,< 10,< 10,< 10,93.0
%_I88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S54,< 10,< 10,< 10,< 10,22.0
%_S54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S90,< 10,< 10,< 10,< 10,164.0
%_S90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O75,< 10,< 10,< 10,< 10,70.0
%_O75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D41,< 10,< 10,< 10,< 10,207.0
%_D41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A05,< 10,< 10,< 10,< 10,25.0
%_A05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O16,< 10,< 10,< 10,< 10,420.0
%_O16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_W07,< 10,< 10,< 10,< 10,< 10
%_W07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q31,< 10,< 10,< 10,< 10,70.0
%_Q31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D46,< 10,< 10,< 10,< 10,2601.0
%_D46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.17%
N_M30,< 10,25.0,< 10,18.0,192.0
%_M30,< 0.21%,0.54%,< 0.21%,0.39%,0.01%
N_Z88,< 10,< 10,< 10,< 10,108.0
%_Z88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O62,< 10,< 10,< 10,< 10,90.0
%_O62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_H04,< 10,< 10,< 10,< 10,333.0
%_H04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_C08,< 10,< 10,< 10,< 10,59.0
%_C08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M51,< 10,12.0,< 10,< 10,1890.0
%_M51,< 0.21%,0.26%,< 0.21%,< 0.21%,0.12%
N_Z95,56.0,107.0,61.0,114.0,20666.0
%_Z95,1.2%,2.29%,1.31%,2.44%,1.31%
N_Z59,< 10,< 10,< 10,< 10,280.0
%_Z59,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I66,< 10,< 10,< 10,< 10,150.0
%_I66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L30,< 10,< 10,< 10,< 10,693.0
%_L30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_D07,< 10,< 10,< 10,< 10,59.0
%_D07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z85,< 10,< 10,< 10,11.0,2784.0
%_Z85,< 0.21%,< 0.21%,< 0.21%,0.24%,0.18%
N_E53,< 10,< 10,< 10,< 10,810.0
%_E53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_A78,< 10,< 10,< 10,< 10,< 10
%_A78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_I25,54.0,154.0,34.0,172.0,16994.0
%_I25,1.16%,3.3%,0.73%,3.68%,1.08%
N_W01,< 10,< 10,< 10,< 10,19.0
%_W01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q97,< 10,< 10,< 10,< 10,< 10
%_Q97,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R27,< 10,< 10,< 10,< 10,248.0
%_R27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R18,< 10,10.0,< 10,13.0,1509.0
%_R18,< 0.21%,< 0.21%,< 0.21%,0.28%,0.1%
N_S45,< 10,< 10,< 10,< 10,11.0
%_S45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R32,< 10,< 10,< 10,< 10,262.0
%_R32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_C73,< 10,< 10,< 10,< 10,1045.0
%_C73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_P70,< 10,< 10,< 10,< 10,119.0
%_P70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M34,< 10,< 10,< 10,10.0,577.0
%_M34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_R09,85.0,969.0,77.0,897.0,34361.0
%_R09,1.82%,20.75%,1.65%,19.21%,2.18%
N_D03,< 10,< 10,< 10,< 10,33.0
%_D03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I69,< 10,13.0,< 10,15.0,386.0
%_I69,< 0.21%,0.28%,< 0.21%,0.32%,0.02%
N_H90,< 10,< 10,< 10,< 10,1506.0
%_H90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.1%
N_N80,< 10,< 10,< 10,< 10,500.0
%_N80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B83,< 10,< 10,< 10,< 10,< 10
%_B83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q85,< 10,< 10,< 10,< 10,438.0
%_Q85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Y95,< 10,< 10,< 10,< 10,55.0
%_Y95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J18,< 10,193.0,< 10,166.0,2716.0
%_J18,< 0.21%,4.13%,< 0.21%,3.55%,0.17%
N_OTHDIAG,< 10,< 10,< 10,< 10,< 10
%_OTHDIAG,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K04,< 10,< 10,< 10,< 10,329.0
%_K04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_C7B,< 10,< 10,< 10,< 10,167.0
%_C7B,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F70,< 10,< 10,< 10,< 10,< 10
%_F70,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_P19,< 10,< 10,< 10,< 10,< 10
%_P19,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z04,< 10,< 10,< 10,< 10,49.0
%_Z04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F84,< 10,< 10,< 10,< 10,288.0
%_F84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_W89,< 10,< 10,< 10,< 10,< 10
%_W89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_E34,< 10,< 10,< 10,< 10,194.0
%_E34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K73,< 10,< 10,< 10,< 10,20.0
%_K73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_F09,< 10,< 10,< 10,< 10,80.0
%_F09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I95,< 10,80.0,< 10,64.0,1880.0
%_I95,< 0.21%,1.71%,< 0.21%,1.37%,0.12%
N_G64,< 10,< 10,< 10,< 10,< 10
%_G64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_H61,< 10,< 10,< 10,< 10,479.0
%_H61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_D68,< 10,28.0,< 10,33.0,1324.0
%_D68,< 0.21%,0.6%,< 0.21%,0.71%,0.08%
N_I39,< 10,< 10,< 10,< 10,10.0
%_I39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K91,< 10,11.0,< 10,< 10,1191.0
%_K91,< 0.21%,0.24%,< 0.21%,< 0.21%,0.08%
N_O72,< 10,< 10,< 10,< 10,120.0
%_O72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S87,< 10,< 10,< 10,< 10,< 10
%_S87,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q99,< 10,< 10,< 10,< 10,182.0
%_Q99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G99,< 10,< 10,< 10,< 10,104.0
%_G99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q23,< 10,< 10,< 10,10.0,1804.0
%_Q23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.11%
N_R10,79.0,143.0,77.0,180.0,27083.0
%_R10,1.69%,3.06%,1.65%,3.85%,1.72%
N_V20,< 10,< 10,< 10,< 10,< 10
%_V20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_W86,< 10,< 10,< 10,< 10,< 10
%_W86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C67,< 10,< 10,15.0,< 10,3429.0
%_C67,< 0.21%,< 0.21%,0.32%,< 0.21%,0.22%
N_J82,< 10,< 10,< 10,< 10,24.0
%_J82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L60,< 10,< 10,< 10,< 10,173.0
%_L60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Q93,< 10,< 10,< 10,< 10,175.0
%_Q93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J64,< 10,< 10,< 10,< 10,< 10
%_J64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R74,< 10,85.0,10.0,83.0,2668.0
%_R74,< 0.21%,1.82%,< 0.21%,1.78%,0.17%
N_J00,< 10,< 10,< 10,< 10,43.0
%_J00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L55,< 10,< 10,< 10,< 10,14.0
%_L55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B78,< 10,< 10,< 10,< 10,27.0
%_B78,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_G10,< 10,< 10,< 10,< 10,< 10
%_G10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_W18,< 10,< 10,< 10,< 10,24.0
%_W18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M81,13.0,20.0,12.0,26.0,3512.0
%_M81,0.28%,0.43%,0.26%,0.56%,0.22%
N_H16,< 10,< 10,< 10,< 10,123.0
%_H16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M01,< 10,< 10,< 10,< 10,< 10
%_M01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K50,< 10,11.0,< 10,< 10,2379.0
%_K50,< 0.21%,0.24%,< 0.21%,< 0.21%,0.15%
N_R92,14.0,12.0,22.0,12.0,6998.0
%_R92,0.3%,0.26%,0.47%,0.26%,0.44%
N_S80,< 10,< 10,< 10,< 10,254.0
%_S80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_C17,< 10,< 10,< 10,< 10,120.0
%_C17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E44,< 10,< 10,< 10,< 10,107.0
%_E44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M1A,< 10,< 10,< 10,< 10,224.0
%_M1A,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G36,< 10,< 10,< 10,< 10,194.0
%_G36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E63,< 10,< 10,< 10,< 10,183.0
%_E63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z14,< 10,< 10,< 10,< 10,258.0
%_Z14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S89,< 10,< 10,< 10,< 10,468.0
%_S89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Z43,< 10,< 10,< 10,< 10,238.0
%_Z43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Z80,< 10,< 10,< 10,< 10,1068.0
%_Z80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_Z47,< 10,< 10,< 10,< 10,1298.0
%_Z47,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_B36,< 10,< 10,< 10,< 10,71.0
%_B36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S10,< 10,< 10,< 10,< 10,14.0
%_S10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R65,< 10,67.0,< 10,65.0,566.0
%_R65,< 0.21%,1.43%,< 0.21%,1.39%,0.04%
N_I15,< 10,20.0,< 10,16.0,1120.0
%_I15,< 0.21%,0.43%,< 0.21%,0.34%,0.07%
N_S93,< 10,< 10,< 10,< 10,810.0
%_S93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_S67,< 10,< 10,< 10,< 10,31.0
%_S67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B97,< 10,< 10,< 10,< 10,541.0
%_B97,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_M17,11.0,18.0,19.0,15.0,4592.0
%_M17,0.24%,0.39%,0.41%,0.32%,0.29%
N_M80,< 10,< 10,< 10,< 10,209.0
%_M80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O60,< 10,< 10,< 10,< 10,316.0
%_O60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Q24,< 10,< 10,< 10,< 10,1884.0
%_Q24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.12%
N_L25,< 10,< 10,< 10,< 10,113.0
%_L25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G24,< 10,< 10,< 10,< 10,132.0
%_G24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S33,< 10,< 10,< 10,< 10,44.0
%_S33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T76,< 10,< 10,< 10,< 10,30.0
%_T76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S57,< 10,< 10,< 10,< 10,< 10
%_S57,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A32,< 10,< 10,< 10,< 10,< 10
%_A32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G50,< 10,< 10,< 10,< 10,181.0
%_G50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A81,< 10,< 10,< 10,< 10,17.0
%_A81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H51,< 10,< 10,< 10,< 10,49.0
%_H51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B81,< 10,< 10,< 10,< 10,< 10
%_B81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z38,< 10,< 10,< 10,< 10,1087.0
%_Z38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_S05,< 10,< 10,< 10,< 10,294.0
%_S05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_C77,< 10,< 10,< 10,< 10,648.0
%_C77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_M86,< 10,< 10,< 10,15.0,629.0
%_M86,< 0.21%,< 0.21%,< 0.21%,0.32%,0.04%
N_T84,< 10,< 10,< 10,< 10,1140.0
%_T84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_K22,< 10,< 10,< 10,13.0,1006.0
%_K22,< 0.21%,< 0.21%,< 0.21%,0.28%,0.06%
N_E22,< 10,< 10,< 10,< 10,316.0
%_E22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R97,< 10,11.0,< 10,< 10,1646.0
%_R97,< 0.21%,0.24%,< 0.21%,< 0.21%,0.1%
N_P50,< 10,< 10,< 10,< 10,< 10
%_P50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G08,< 10,< 10,< 10,< 10,100.0
%_G08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N10,< 10,< 10,< 10,< 10,319.0
%_N10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_A04,< 10,11.0,< 10,14.0,459.0
%_A04,< 0.21%,0.24%,< 0.21%,0.3%,0.03%
N_J30,< 10,10.0,< 10,17.0,904.0
%_J30,< 0.21%,< 0.21%,< 0.21%,0.36%,0.06%
N_R14,< 10,23.0,< 10,23.0,1187.0
%_R14,< 0.21%,0.49%,< 0.21%,0.49%,0.08%
N_I89,< 10,< 10,< 10,< 10,507.0
%_I89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_E03,< 10,50.0,14.0,49.0,4193.0
%_E03,< 0.21%,1.07%,0.3%,1.05%,0.27%
N_Z62,< 10,< 10,< 10,< 10,15.0
%_Z62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M19,< 10,24.0,< 10,16.0,2867.0
%_M19,< 0.21%,0.51%,< 0.21%,0.34%,0.18%
N_O31,< 10,< 10,< 10,< 10,65.0
%_O31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N98,< 10,< 10,< 10,< 10,< 10
%_N98,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R63,< 10,34.0,11.0,39.0,3190.0
%_R63,< 0.21%,0.73%,0.24%,0.84%,0.2%
N_L05,< 10,< 10,< 10,< 10,90.0
%_L05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E27,< 10,< 10,< 10,11.0,667.0
%_E27,< 0.21%,< 0.21%,< 0.21%,0.24%,0.04%
N_O34,< 10,< 10,10.0,10.0,2194.0
%_O34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_R05,18.0,358.0,18.0,351.0,8181.0
%_R05,0.39%,7.67%,0.39%,7.52%,0.52%
N_F63,< 10,< 10,< 10,< 10,28.0
%_F63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T38,< 10,11.0,< 10,13.0,300.0
%_T38,< 0.21%,0.24%,< 0.21%,0.28%,0.02%
N_C49,14.0,12.0,11.0,14.0,5034.0
%_C49,0.3%,0.26%,0.24%,0.3%,0.32%
N_C15,< 10,< 10,< 10,< 10,1429.0
%_C15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.09%
N_C53,< 10,< 10,< 10,< 10,1076.0
%_C53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_F04,< 10,< 10,< 10,< 10,< 10
%_F04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A82,< 10,< 10,< 10,< 10,< 10
%_A82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N81,< 10,< 10,< 10,< 10,281.0
%_N81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R71,< 10,< 10,< 10,< 10,84.0
%_R71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_Z82,< 10,< 10,< 10,< 10,770.0
%_Z82,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_S79,< 10,< 10,< 10,< 10,48.0
%_S79,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q95,< 10,< 10,< 10,< 10,14.0
%_Q95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_A66,< 10,< 10,< 10,< 10,< 10
%_A66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z36,< 10,< 10,< 10,< 10,2910.0
%_Z36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.18%
N_H20,< 10,< 10,< 10,< 10,218.0
%_H20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O46,< 10,< 10,< 10,< 10,387.0
%_O46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_N53,< 10,< 10,< 10,< 10,16.0
%_N53,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W19,< 10,51.0,11.0,52.0,4138.0
%_W19,< 0.21%,1.09%,0.24%,1.11%,0.26%
N_D74,< 10,< 10,< 10,< 10,< 10
%_D74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M62,< 10,13.0,< 10,15.0,1025.0
%_M62,< 0.21%,0.28%,< 0.21%,0.32%,0.07%
N_Z77,< 10,< 10,< 10,< 10,183.0
%_Z77,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A56,< 10,< 10,< 10,< 10,10.0
%_A56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C84,10.0,< 10,< 10,< 10,1542.0
%_C84,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.1%
N_A88,< 10,< 10,< 10,< 10,< 10
%_A88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S71,< 10,< 10,< 10,< 10,46.0
%_S71,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H66,< 10,< 10,< 10,< 10,693.0
%_H66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_T25,< 10,< 10,< 10,< 10,20.0
%_T25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J05,< 10,< 10,< 10,< 10,156.0
%_J05,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K80,< 10,13.0,< 10,12.0,1090.0
%_K80,< 0.21%,0.28%,< 0.21%,0.26%,0.07%
N_R00,39.0,218.0,42.0,235.0,12608.0
%_R00,0.84%,4.67%,0.9%,5.03%,0.8%
N_C34,18.0,27.0,18.0,21.0,7876.0
%_C34,0.39%,0.58%,0.39%,0.45%,0.5%
N_N01,< 10,< 10,< 10,< 10,< 10
%_N01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q76,< 10,< 10,< 10,< 10,180.0
%_Q76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J86,< 10,< 10,< 10,< 10,143.0
%_J86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O63,< 10,< 10,< 10,< 10,< 10
%_O63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q11,< 10,< 10,< 10,< 10,< 10
%_Q11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_P22,< 10,< 10,< 10,< 10,228.0
%_P22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_W46,< 10,< 10,< 10,< 10,142.0
%_W46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_O26,< 10,18.0,< 10,10.0,2540.0
%_O26,< 0.21%,0.39%,< 0.21%,< 0.21%,0.16%
N_E58,< 10,< 10,< 10,< 10,< 10
%_E58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A59,< 10,< 10,< 10,< 10,25.0
%_A59,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S36,< 10,< 10,< 10,< 10,56.0
%_S36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D48,< 10,< 10,< 10,< 10,776.0
%_D48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_D50,17.0,38.0,26.0,37.0,6720.0
%_D50,0.36%,0.81%,0.56%,0.79%,0.43%
N_A64,< 10,< 10,< 10,< 10,96.0
%_A64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K09,< 10,< 10,< 10,< 10,30.0
%_K09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I52,< 10,< 10,< 10,< 10,< 10
%_I52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G45,< 10,< 10,< 10,< 10,1390.0
%_G45,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.09%
N_P36,< 10,< 10,< 10,< 10,< 10
%_P36,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D31,< 10,< 10,< 10,< 10,54.0
%_D31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_L04,< 10,< 10,< 10,< 10,21.0
%_L04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_H83,< 10,< 10,< 10,< 10,55.0
%_H83,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_E85,< 10,< 10,< 10,< 10,1315.0
%_E85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_N75,< 10,< 10,< 10,< 10,100.0
%_N75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K60,< 10,< 10,< 10,< 10,330.0
%_K60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_B39,< 10,< 10,< 10,< 10,< 10
%_B39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D89,< 10,20.0,< 10,16.0,1882.0
%_D89,< 0.21%,0.43%,< 0.21%,0.34%,0.12%
N_F10,< 10,17.0,10.0,13.0,3078.0
%_F10,< 0.21%,0.36%,< 0.21%,0.28%,0.2%
N_A38,< 10,< 10,< 10,< 10,13.0
%_A38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_K81,< 10,10.0,< 10,< 10,714.0
%_K81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
